2	1790269076.467533237	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
4	1790269076.747439356	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
5	1790269076.772026628	192.168.74.1	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
6	1790269076.906105751	192.168.74.129	00:0c:29:a8:ed:ac	192.168.74.1	00:50:56:c0:00:01
40	1790269079.963772532	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
41	1790269079.994932757	192.168.74.1	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
42	1790269080.090707161	192.168.74.129	00:0c:29:a8:ed:ac	192.168.74.1	00:50:56:c0:00:01
44	1790269083.140660171	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
45	1790269083.199665617	192.168.74.1	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
46	1790269083.275895906	192.168.74.129	00:0c:29:a8:ed:ac	192.168.74.1	00:50:56:c0:00:01
50	1790269086.311199647	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
51	1790269086.358605311	192.168.74.1	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
52	1790269086.471865972	192.168.74.129	00:0c:29:a8:ed:ac	192.168.74.1	00:50:56:c0:00:01
54	1790269089.508179616	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
55	1790269089.560372313	192.168.74.1	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
56	1790269089.662664609	192.168.74.129	00:0c:29:a8:ed:ac	192.168.74.1	00:50:56:c0:00:01
225	1790269092.703148517	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
226	1790269092.743429726	192.168.74.1	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
227	1790269092.818738869	192.168.74.129	00:0c:29:a8:ed:ac	192.168.74.1	00:50:56:c0:00:01
229	1790269095.862714452	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
230	1790269095.921712768	192.168.74.1	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
231	1790269096.043673546	192.168.74.129	00:0c:29:a8:ed:ac	192.168.74.1	00:50:56:c0:00:01
233	1790269097.562902506	192.168.74.128	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
235	1790269099.088003027	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
236	1790269099.139943112	192.168.74.1	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
237	1790269099.219397960	192.168.74.129	00:0c:29:a8:ed:ac	192.168.74.1	00:50:56:c0:00:01
239	1790269102.265944604	192.168.74.129	00:0c:29:bf:a9:70	192.168.74.128	00:0c:29:a8:ed:ac
240	1790269102.324343292	192.168.74.1	00:0c:29:a8:ed:ac	192.168.74.129	00:0c:29:bf:a9:70
241	1790269102.427709660	192.168.74.129	00:0c:29:a8:ed:ac	192.168.74.1	00:50:56:c0:00:01
